archivo,seccion,tipo,clave,texto_actual,propuesta_mejora,objetivo_del_cambio
src/components/ui/cookie-banner.tsx,cookies,preferencias,cookieBanner.analytics,Cookies analíticas,,
src/components/ui/cookie-banner.tsx,cookies,preferencias,cookieBanner.analyticsHelp,Nos ayudan a mejorar contenidos rendimiento y conversion,,
src/components/ui/cookie-banner.tsx,cookies,preferencias,cookieBanner.marketing,Cookies de marketing,,
src/components/ui/cookie-banner.tsx,cookies,preferencias,cookieBanner.marketingHelp,Permiten medir campañas y mostrar contenido mas relevante,,
src/components/ui/cookie-banner.tsx,cookies,cta,cookieBanner.cancel,Cancelar,,
src/components/ui/cookie-banner.tsx,cookies,cta,cookieBanner.save,Guardar preferencias,,
src/components/ui/cookie-banner.tsx,cookies,cta,cookieBanner.essentialOnly,Solo esenciales,,
src/components/ui/cookie-banner.tsx,cookies,cta,cookieBanner.configure,Configurar,,
src/components/ui/cookie-banner.tsx,cookies,cta,cookieBanner.acceptAll,Aceptar y continuar,,
src/app/page.tsx,home_seo,seo,page.metadata.title,ADAS para flotas con cámaras 360° y detección de peatones | Vision360IA,,
src/app/page.tsx,home_seo,seo,page.metadata.description,"Sistema de cámaras 360° con detección de peatones y ciclistas para autobuses, camiones y vehículos municipales. Reduce puntos ciegos, mejora seguridad urbana y facilita cumplimiento GSR.",,
src/app/page.tsx,home_seo,seo,page.openGraph.title,Visión 360° inteligente para flotas urbanas | Vision360IA,,
src/app/page.tsx,home_seo,seo,page.openGraph.description,"Reduce accidentes en maniobras urbanas con cámaras 360°, detección de peatones y ciclistas y solución ADAS para autobuses, camiones y vehículos municipales.",,
src/app/adas-autobuses/page.tsx,autobuses,seo,metadata.title,ADAS para autobuses con cámaras 360° y detección VRU | Vision360IA,,
src/app/adas-autobuses/page.tsx,autobuses,seo,metadata.description,"Reduce puntos ciegos y accidentes en autobuses urbanos e interurbanos con cámaras 360°, detección de peatones y ciclistas y solución preparada para cumplimiento GSR en flotas profesionales.",,
src/app/adas-autobuses/page.tsx,autobuses,hero,titular,Reduce puntos ciegos y maniobras de riesgo en tu flota de autobuses,,
src/app/adas-autobuses/page.tsx,autobuses,hero,descripcion,"Sistema de cámaras 360° con detección inteligente de peatones y ciclistas para autobuses urbanos e interurbanos. Diseñado para mejorar seguridad, reducir incidentes y facilitar cumplimiento sin penalizar la operación.",,
src/app/adas-autobuses/page.tsx,autobuses,beneficio,feature.1,Visión 360° sin puntos ciegos,,
src/app/adas-autobuses/page.tsx,autobuses,beneficio,feature.2,Detección VRU anti-atropellos,,
src/app/adas-autobuses/page.tsx,autobuses,beneficio,feature.3,IA de visión artificial,,
src/app/adas-autobuses/page.tsx,autobuses,beneficio,feature.4,Homologación GSR completa,,
src/app/adas-autobuses/page.tsx,autobuses,faq,faq.title,Preguntas frecuentes sobre seguridad 360° en autobuses,,
src/app/adas-autobuses/page.tsx,autobuses,cta,cta.final,Solicitar dossier técnico,,
src/app/adas-camiones/page.tsx,camiones,seo,metadata.title,ADAS para camiones con cámaras 360° y alertas VRU | Vision360IA,,
src/app/adas-camiones/page.tsx,camiones,seo,metadata.description,"Reduce puntos ciegos y riesgo de siniestro en camiones y transporte pesado con cámaras 360°, detección de peatones y ciclistas y solución preparada para retrofit y cumplimiento GSR.",,
src/app/adas-camiones/page.tsx,camiones,hero,titular,Reduce puntos ciegos y riesgo de siniestro en tu flota de camiones,,
src/app/adas-camiones/page.tsx,camiones,hero,descripcion,"Sistema de cámaras 360° con detección inteligente de peatones y ciclistas para camiones, rígidos, tractoras y articulados. Diseñado para mejorar maniobras, reducir incidentes y facilitar implantación sobre flota real.",,
src/app/adas-camiones/page.tsx,camiones,beneficio,feature.1,Visión 360° para camiones,,
src/app/adas-camiones/page.tsx,camiones,beneficio,feature.2,Anti-atropellos con IA,,
src/app/adas-camiones/page.tsx,camiones,beneficio,feature.3,Visión artificial en tiempo real,,
src/app/adas-camiones/page.tsx,camiones,beneficio,feature.4,Compatible 12V y 24V,,
src/app/adas-camiones/page.tsx,camiones,faq,faq.q1,¿Qué ADAS necesita un camión para cumplir la normativa GSR?,,
src/app/adas-camiones/page.tsx,camiones,faq,faq.q2,¿El sistema funciona en camiones con remolque?,,
src/app/adas-camiones/page.tsx,camiones,faq,faq.q3,¿Cómo reduce costes el ADAS en flotas de camiones?,,
src/app/adas-camiones/page.tsx,camiones,cta,cta.title,Protege tu flota de camiones con visión 360° inteligente,,
src/app/adas-camiones/page.tsx,camiones,cta,cta.description,"Solicita una sesión técnica para revisar geometría del vehículo, riesgos operativos y la configuración más eficaz para tu flota.",,
src/app/adas-camiones/page.tsx,camiones,cta,cta.button,Solicitar sesión técnica,,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,seo,metadata.title,ADAS para recogida de residuos con protección de operarios | Vision360IA,,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,seo,metadata.description,"Reduce riesgo en vehículos de recogida de residuos con visión 360°, detección de operarios, peatones y ciclistas y solución diseñada para maniobras urbanas de baja velocidad.",,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,hero,titular,Protege a operarios y ciudadanos en la recogida urbana con visión 360° inteligente,,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,hero,descripcion,"Sistema ADAS para vehículos RSU que detecta operarios, peatones y ciclistas en maniobras de baja velocidad y ayuda a reducir incidentes en un entorno urbano de máxima exposición.",,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,beneficio,feature.1,Visión 360° para maniobras urbanas,,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,beneficio,feature.2,Protección de operarios,,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,beneficio,feature.3,IA optimizada para baja velocidad,,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,beneficio,feature.4,Geofencing por ruta de recogida,,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,faq,faq.title,Preguntas frecuentes sobre seguridad 360° en recogida de residuos,,
src/app/adas-vehiculos-recogida-residuos/page.tsx,residuos,faq,faq.q1,¿Por qué la recogida de residuos necesita un ADAS específico?,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,seo,metadata.title,Sistema anti-atropellos con detección de peatones y ciclistas | Vision360IA,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,seo,metadata.description,"Reduce riesgo de atropello en autobuses, camiones y flotas urbanas con detección de peatones y ciclistas, alertas en tiempo real y solución preparada para cumplimiento GSR.",,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,hero,titular,Reduce el riesgo de atropello en maniobras urbanas con detección VRU inteligente,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,hero,descripcion,"Sistema anti-atropellos para autobuses, camiones y flotas urbanas que detecta peatones y ciclistas en tiempo real y alerta al conductor antes de que la maniobra termine en incidente.",,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,beneficio,feature.1,Detección IA en milisegundos,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,beneficio,feature.2,Alertas antes de la colisión,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,beneficio,feature.3,Cobertura 360° completa,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,beneficio,feature.4,Funciona de noche y con lluvia,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,faq,faq.title,Preguntas frecuentes sobre prevención de atropellos,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,cta,cta.title,Refuerza la prevención de atropellos en tu flota,,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,cta,cta.description,"Solicita una demostración y revisemos qué maniobras, vehículos y zonas de riesgo deben cubrirse en tu operación.",,
src/app/anti-atropellos-peatones-ciclistas/page.tsx,anti_atropellos,cta,cta.button,Solicitar demostración,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,seo,metadata.title,Cámaras de visión artificial para flotas y operación inteligente | Vision360IA,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,seo,metadata.description,"Convierte vídeo en decisiones operativas con cámaras de visión artificial para flotas: detección de peatones, análisis de conducción, eventos en tiempo real e integración con gestión de flota.",,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,hero,titular,Convierte vídeo en decisiones operativas para tu flota,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,hero,descripcion,"Cámaras de visión artificial para detectar riesgos, analizar conducción y enviar eventos útiles a operación, seguridad y gestión de flota.",,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,beneficio,feature.1,Detección multi-clase en tiempo real,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,beneficio,feature.2,Edge computing: IA sin internet,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,beneficio,feature.3,Conectividad 4G/5G y cloud,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,beneficio,feature.4,Análisis de conducción con IA,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,faq,faq.title,Preguntas frecuentes sobre visión artificial aplicada,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,cta,cta.title,Activa visión artificial útil para tu operación,,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,cta,cta.description,"Solicita una consulta técnica para definir qué eventos necesitas detectar, cómo integrarlos y qué arquitectura encaja mejor con tu flota.",,
src/app/camaras-vision-artificial-flotas/page.tsx,vision_artificial,cta,cta.button,Solicitar consulta técnica,,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,seo,metadata.title,Visión 360° para vehículos industriales y maquinaria pesada | Vision360IA,,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,seo,metadata.description,"Reduce puntos ciegos y riesgo persona-máquina con visión 360° para vehículos industriales, obra y maquinaria pesada. Cámaras robustas, detección inteligente y despliegue sobre parque real.",,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,hero,titular,Reduce riesgo persona-máquina con visión 360° para vehículos industriales,,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,hero,descripcion,"Solución de visión 360° para maquinaria pesada, obra y vehículos industriales que mejora la maniobra, reduce puntos ciegos y ayuda a proteger a las personas en entorno severo.",,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,beneficio,feature.1,Vista cenital 360° en obra,,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,beneficio,feature.2,Detección de personas con IA,,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,beneficio,feature.3,IP69K y robustez industrial,,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,beneficio,feature.4,Zonas de exclusión programables,,
src/app/vision-360-vehiculos-industriales/page.tsx,vehiculos_industriales,faq,faq.title,Preguntas frecuentes sobre visión 360° en maquinaria,,
src/lib/legal-translations.ts,aviso_legal,legal,es.avisoLegal.title,Aviso Legal,,
src/lib/legal-translations.ts,aviso_legal,legal,es.avisoLegal.subtitle,Condiciones de uso del sitio web,,
src/lib/legal-translations.ts,privacidad,legal,es.privacidad.title,Política de Privacidad,,
src/lib/legal-translations.ts,privacidad,legal,es.privacidad.subtitle,En cumplimiento del Reglamento (UE) 2016/679 (RGPD) y la Ley Orgánica 3/2018 (LOPDGDD),,
src/lib/legal-translations.ts,cookies,legal,es.cookies.title,Política de Cookies,,
src/lib/legal-translations.ts,cookies,legal,es.cookies.subtitle,Información sobre el uso de cookies en este sitio web,,
